work_order_id,ticket_id,technician_id,type,status,date_created,date_completed,duration_hours
WO00257,TICK00760,TECH0150,Routine Maintenance,In Progress,2024-02-19 00:00:00,2024-02-23 00:00:00,5
WO00258,TICK00024,TECH0142,Emergency Repair,Completed,2024-01-09 00:00:00,2024-01-12 00:00:00,6
WO00259,TICK00237,TECH0093,Installation,Pending,2023-10-28 00:00:00,2023-10-30 00:00:00,3
WO00260,TICK00392,TECH0048,Inspection,In Progress,2023-11-23 00:00:00,2023-11-28 00:00:00,4
WO00261,TICK00667,TECH0066,Routine Maintenance,Completed,2023-12-31 00:00:00,2024-01-01 00:00:00,3
WO00262,TICK00299,TECH0033,Emergency Repair,Pending,2023-12-20 00:00:00,2023-12-23 00:00:00,6
WO00263,TICK00511,TECH0119,Installation,In Progress,2024-02-29 00:00:00,2024-03-01 00:00:00,5
WO00264,TICK00409,TECH0047,Inspection,Completed,2024-02-26 00:00:00,2024-02-27 00:00:00,8
WO00265,TICK00118,TECH0051,Routine Maintenance,Pending,2023-11-25 00:00:00,2023-11-27 00:00:00,8
WO00266,TICK00004,TECH0139,Emergency Repair,In Progress,2024-01-15 00:00:00,,2
WO00267,TICK00738,TECH0059,Installation,Completed,2023-11-28 00:00:00,2023-12-03 00:00:00,1
WO00268,TICK00252,TECH0154,Inspection,Pending,2023-12-21 00:00:00,2023-12-23 00:00:00,5
WO00269,TICK00745,TECH0124,Routine Maintenance,In Progress,2024-03-27 00:00:00,,8
WO00270,TICK00827,TECH0051,Emergency Repair,Completed,2023-10-13 00:00:00,2023-10-15 00:00:00,7
WO00271,TICK00471,TECH0099,Installation,Pending,2023-10-05 00:00:00,,6
WO00272,TICK00364,TECH0187,Inspection,In Progress,2023-12-01 00:00:00,2023-12-05 00:00:00,2
WO00273,TICK00428,TECH0074,Routine Maintenance,Completed,2023-12-04 00:00:00,2023-12-05 00:00:00,2
WO00274,TICK00440,TECH0193,Emergency Repair,Pending,2024-02-20 00:00:00,2024-02-22 00:00:00,2
WO00275,TICK00129,TECH0107,Installation,In Progress,2023-10-21 00:00:00,2023-10-25 00:00:00,5
WO00276,TICK00365,TECH0184,Inspection,Completed,2024-03-11 00:00:00,,2
WO00277,TICK00781,TECH0120,Routine Maintenance,Pending,2024-03-08 00:00:00,2024-03-12 00:00:00,1
WO00278,TICK00353,TECH0155,Emergency Repair,In Progress,2024-02-10 00:00:00,2024-02-10 00:00:00,7
WO00279,TICK00324,TECH0022,Installation,Completed,2023-10-10 00:00:00,2023-10-14 00:00:00,8
WO00280,TICK00438,TECH0045,Inspection,Pending,2024-03-16 00:00:00,2024-03-21 00:00:00,7
WO00281,TICK00262,TECH0166,Routine Maintenance,In Progress,2024-03-10 00:00:00,2024-03-12 00:00:00,2
WO00282,TICK00550,TECH0047,Emergency Repair,Completed,2023-11-13 00:00:00,2023-11-13 00:00:00,1
WO00283,TICK00766,TECH0007,Installation,Pending,2024-03-31 00:00:00,2024-04-02 00:00:00,3
WO00284,TICK00690,TECH0021,Inspection,In Progress,2024-03-02 00:00:00,2024-03-05 00:00:00,7
WO00285,TICK00903,TECH0155,Routine Maintenance,Completed,2024-02-17 00:00:00,2024-02-18 00:00:00,7
WO00286,TICK00163,TECH0102,Emergency Repair,Pending,2023-12-04 00:00:00,,6
WO00287,TICK00298,TECH0088,Installation,In Progress,2024-03-26 00:00:00,2024-03-30 00:00:00,8
WO00288,TICK00162,TECH0187,Inspection,Completed,2023-10-02 00:00:00,2023-10-03 00:00:00,7
WO00289,TICK00262,TECH0088,Routine Maintenance,Pending,2023-11-19 00:00:00,2023-11-19 00:00:00,5
WO00290,TICK00428,TECH0200,Emergency Repair,In Progress,2023-10-30 00:00:00,2023-11-04 00:00:00,6
WO00291,TICK00294,TECH0144,Installation,Completed,2023-10-25 00:00:00,2023-10-26 00:00:00,2
WO00292,TICK00377,TECH0025,Inspection,Pending,2024-03-30 00:00:00,,2
WO00293,TICK00891,TECH0152,Routine Maintenance,In Progress,2023-10-23 00:00:00,2023-10-28 00:00:00,4
WO00294,TICK00683,TECH0186,Emergency Repair,Completed,2024-02-25 00:00:00,2024-02-26 00:00:00,1
WO00295,TICK00178,TECH0181,Installation,Pending,2024-02-04 00:00:00,2024-02-05 00:00:00,2
WO00296,TICK00572,TECH0028,Inspection,In Progress,2023-10-10 00:00:00,2023-10-13 00:00:00,4
WO00297,TICK00527,TECH0179,Routine Maintenance,Completed,2024-01-17 00:00:00,2024-01-17 00:00:00,7
WO00298,TICK00979,TECH0190,Emergency Repair,Pending,2023-10-12 00:00:00,,6
WO00299,TICK00802,TECH0178,Installation,In Progress,2023-10-13 00:00:00,2023-10-16 00:00:00,8
WO00300,TICK00453,TECH0149,Inspection,Completed,2023-12-19 00:00:00,2023-12-21 00:00:00,6
WO00301,TICK00287,TECH0017,Routine Maintenance,Pending,2023-12-07 00:00:00,2023-12-12 00:00:00,19
WO00302,TICK00141,TECH0076,Emergency Repair,In Progress,2023-11-15 00:00:00,2023-11-17 00:00:00,18
WO00303,TICK00763,TECH0113,Installation,Completed,2023-11-26 00:00:00,,13
WO00304,TICK00800,TECH0028,Inspection,Pending,2023-10-13 00:00:00,2023-10-16 00:00:00,18
WO00305,TICK00751,TECH0127,Routine Maintenance,In Progress,2023-10-08 00:00:00,2023-10-12 00:00:00,9
WO00306,TICK00059,TECH0101,Emergency Repair,Completed,2024-03-23 00:00:00,2024-03-27 00:00:00,20
WO00307,TICK00202,TECH0147,Installation,Pending,2024-01-29 00:00:00,2024-01-29 00:00:00,17
WO00308,TICK00285,TECH0047,Inspection,In Progress,2023-10-16 00:00:00,2023-10-17 00:00:00,18
WO00309,TICK00712,TECH0127,Routine Maintenance,Completed,2024-03-07 00:00:00,2024-03-09 00:00:00,18
WO00310,TICK00191,TECH0061,Emergency Repair,Pending,2024-02-16 00:00:00,,20
WO00311,TICK00380,TECH0168,Installation,In Progress,2023-11-13 00:00:00,,14
WO00312,TICK00195,TECH0084,Inspection,Completed,2024-01-02 00:00:00,2024-01-05 00:00:00,20
WO00313,TICK00820,TECH0191,Routine Maintenance,Pending,2024-03-13 00:00:00,2024-03-13 00:00:00,13
WO00314,TICK00329,TECH0010,Emergency Repair,In Progress,2023-12-09 00:00:00,2023-12-13 00:00:00,19
WO00315,TICK00560,TECH0025,Installation,Completed,2024-01-11 00:00:00,2024-01-16 00:00:00,9
WO00316,TICK00796,TECH0047,Inspection,Pending,2023-10-23 00:00:00,2023-10-24 00:00:00,10
WO00317,TICK00210,TECH0012,Routine Maintenance,In Progress,2023-12-16 00:00:00,2023-12-16 00:00:00,18
WO00318,TICK00704,TECH0184,Emergency Repair,Completed,2024-01-31 00:00:00,2024-01-31 00:00:00,12
WO00319,TICK00053,TECH0179,Installation,Pending,2024-01-08 00:00:00,2024-01-09 00:00:00,10
WO00320,TICK00051,TECH0198,Inspection,In Progress,2024-02-09 00:00:00,,18
WO00321,TICK00690,TECH0188,Routine Maintenance,Completed,2023-12-20 00:00:00,2023-12-20 00:00:00,19
WO00322,TICK00415,TECH0045,Emergency Repair,Pending,2024-02-22 00:00:00,2024-02-25 00:00:00,18
WO00323,TICK00681,TECH0139,Installation,In Progress,2023-11-04 00:00:00,2023-11-07 00:00:00,14
WO00324,TICK00718,TECH0115,Inspection,Completed,2023-11-03 00:00:00,2023-11-04 00:00:00,10
WO00325,TICK00013,TECH0078,Routine Maintenance,Pending,2023-11-13 00:00:00,2023-11-13 00:00:00,9
WO00326,TICK00070,TECH0021,Emergency Repair,In Progress,2024-02-22 00:00:00,2024-02-23 00:00:00,12
WO00327,TICK00075,TECH0097,Installation,Completed,2024-03-30 00:00:00,2024-04-03 00:00:00,11
WO00328,TICK00625,TECH0094,Inspection,Pending,2023-12-03 00:00:00,2023-12-05 00:00:00,16
WO00329,TICK00541,TECH0071,Routine Maintenance,In Progress,2024-03-12 00:00:00,2024-03-17 00:00:00,12
WO00330,TICK00091,TECH0186,Emergency Repair,Completed,2024-03-27 00:00:00,2024-03-30 00:00:00,9
WO00331,TICK00225,TECH0101,Installation,Pending,2024-03-05 00:00:00,,14
WO00332,TICK00046,TECH0122,Inspection,In Progress,2024-02-08 00:00:00,2024-02-12 00:00:00,15
WO00333,TICK00443,TECH0085,Routine Maintenance,Completed,2024-01-27 00:00:00,2024-02-01 00:00:00,20
WO00334,TICK00094,TECH0092,Emergency Repair,Pending,2023-12-16 00:00:00,2023-12-20 00:00:00,20
WO00335,TICK00852,TECH0163,Installation,In Progress,2023-10-16 00:00:00,2023-10-20 00:00:00,17
WO00336,TICK00187,TECH0077,Inspection,Completed,2023-12-23 00:00:00,,14
WO00337,TICK00497,TECH0139,Routine Maintenance,Pending,2023-10-14 00:00:00,2023-10-19 00:00:00,18
WO00338,TICK00983,TECH0175,Emergency Repair,In Progress,2023-12-13 00:00:00,2023-12-15 00:00:00,13
WO00339,TICK00357,TECH0029,Installation,Completed,2024-02-28 00:00:00,2024-02-29 00:00:00,11
WO00340,TICK00360,TECH0002,Inspection,Pending,2023-12-07 00:00:00,2023-12-11 00:00:00,18
WO00341,TICK00560,TECH0190,Routine Maintenance,In Progress,2024-02-01 00:00:00,2024-02-03 00:00:00,12
WO00342,TICK00135,TECH0097,Emergency Repair,Completed,2024-02-07 00:00:00,2024-02-10 00:00:00,14
WO00343,TICK00167,TECH0145,Installation,Pending,2024-02-24 00:00:00,,18
WO00344,TICK00469,TECH0108,Inspection,In Progress,2023-12-15 00:00:00,2023-12-15 00:00:00,17
WO00345,TICK00228,TECH0188,Routine Maintenance,Completed,2023-10-21 00:00:00,2023-10-24 00:00:00,9
WO00346,TICK00445,TECH0096,Emergency Repair,Pending,2024-03-05 00:00:00,2024-03-07 00:00:00,14
WO00347,TICK00684,TECH0176,Installation,In Progress,2023-11-03 00:00:00,2023-11-03 00:00:00,14
WO00348,TICK00471,TECH0113,Inspection,Completed,2023-10-15 00:00:00,2023-10-19 00:00:00,17
WO00349,TICK00985,TECH0117,Routine Maintenance,Pending,2023-12-08 00:00:00,2023-12-08 00:00:00,15
WO00350,TICK00586,TECH0024,Emergency Repair,In Progress,2024-03-13 00:00:00,2024-03-17 00:00:00,10
WO00351,TICK00838,TECH0064,Installation,Completed,2023-11-07 00:00:00,2023-11-09 00:00:00,12
WO00352,TICK00958,TECH0060,Inspection,Pending,2023-10-05 00:00:00,2023-10-09 00:00:00,17
WO00353,TICK00128,TECH0191,Routine Maintenance,In Progress,2024-02-20 00:00:00,2024-02-23 00:00:00,11
WO00354,TICK00961,TECH0078,Emergency Repair,Completed,2024-02-11 00:00:00,2024-02-16 00:00:00,15
WO00355,TICK00327,TECH0156,Installation,Pending,2024-01-20 00:00:00,2024-01-25 00:00:00,12
WO00356,TICK00824,TECH0085,Inspection,In Progress,2024-02-07 00:00:00,2024-02-09 00:00:00,16
WO00357,TICK00131,TECH0155,Routine Maintenance,Completed,2023-12-12 00:00:00,2023-12-12 00:00:00,11
WO00358,TICK00090,TECH0058,Emergency Repair,Pending,2024-01-15 00:00:00,2024-01-15 00:00:00,10
WO00359,TICK00210,TECH0015,Installation,In Progress,2023-10-28 00:00:00,2023-10-31 00:00:00,20
WO00360,TICK00438,TECH0101,Inspection,Completed,2024-01-02 00:00:00,2024-01-07 00:00:00,9
WO00361,TICK00578,TECH0151,Routine Maintenance,Pending,2023-12-29 00:00:00,2024-01-03 00:00:00,14
WO00362,TICK00189,TECH0067,Emergency Repair,In Progress,2023-12-26 00:00:00,2023-12-27 00:00:00,17
WO00363,TICK00927,TECH0153,Installation,Completed,2024-02-23 00:00:00,2024-02-24 00:00:00,20
WO00364,TICK00415,TECH0073,Inspection,Pending,2024-01-29 00:00:00,,15
WO00365,TICK00279,TECH0077,Routine Maintenance,In Progress,2023-12-26 00:00:00,2023-12-29 00:00:00,10
WO00366,TICK00986,TECH0104,Emergency Repair,Completed,2024-01-15 00:00:00,2024-01-19 00:00:00,17
WO00367,TICK00551,TECH0196,Installation,Pending,2023-12-03 00:00:00,2023-12-05 00:00:00,12
WO00368,TICK00669,TECH0036,Inspection,In Progress,2023-10-07 00:00:00,2023-10-10 00:00:00,13
WO00369,TICK00188,TECH0039,Routine Maintenance,Completed,2023-10-18 00:00:00,2023-10-20 00:00:00,20
WO00370,TICK00963,TECH0049,Emergency Repair,Pending,2023-10-03 00:00:00,2023-10-03 00:00:00,20
WO00371,TICK00713,TECH0038,Installation,In Progress,2023-11-25 00:00:00,,17
WO00372,TICK00380,TECH0014,Inspection,Completed,2023-11-08 00:00:00,2023-11-09 00:00:00,11
WO00373,TICK00804,TECH0149,Routine Maintenance,Pending,2024-01-16 00:00:00,2024-01-18 00:00:00,17
WO00374,TICK00624,TECH0023,Emergency Repair,In Progress,2024-01-09 00:00:00,,11
WO00375,TICK00265,TECH0093,Installation,Completed,2024-01-12 00:00:00,2024-01-16 00:00:00,15
WO00376,TICK00264,TECH0159,Inspection,Pending,2024-02-26 00:00:00,2024-02-27 00:00:00,19
WO00377,TICK00369,TECH0183,Routine Maintenance,In Progress,2023-10-31 00:00:00,2023-11-03 00:00:00,14
WO00378,TICK00954,TECH0086,Emergency Repair,Completed,2023-11-22 00:00:00,,18
WO00379,TICK00743,TECH0171,Installation,Pending,2023-12-02 00:00:00,,13
WO00380,TICK00807,TECH0050,Inspection,In Progress,2024-02-14 00:00:00,,15
WO00381,TICK00320,TECH0151,Routine Maintenance,Completed,2024-01-12 00:00:00,2024-01-12 00:00:00,19
WO00382,TICK00822,TECH0069,Emergency Repair,Pending,2024-02-13 00:00:00,,11
WO00383,TICK00596,TECH0106,Installation,In Progress,2023-10-18 00:00:00,2023-10-18 00:00:00,20
WO00384,TICK00830,TECH0168,Inspection,Completed,2023-10-07 00:00:00,2023-10-11 00:00:00,11
WO00385,TICK00868,TECH0097,Routine Maintenance,Pending,2023-11-11 00:00:00,2023-11-14 00:00:00,10
WO00386,TICK00383,TECH0181,Emergency Repair,In Progress,2024-02-25 00:00:00,2024-02-26 00:00:00,11
WO00387,TICK00018,TECH0013,Installation,Completed,2024-03-09 00:00:00,2024-03-14 00:00:00,11
WO00388,TICK00733,TECH0055,Inspection,Pending,2024-02-21 00:00:00,2024-02-24 00:00:00,14
WO00389,TICK00999,TECH0122,Routine Maintenance,In Progress,2023-10-29 00:00:00,2023-10-31 00:00:00,11
WO00390,TICK00785,TECH0187,Emergency Repair,Completed,2024-01-07 00:00:00,2024-01-08 00:00:00,16
WO00391,TICK00132,TECH0154,Installation,Pending,2024-01-25 00:00:00,2024-01-29 00:00:00,11
WO00392,TICK00410,TECH0182,Inspection,In Progress,2024-01-09 00:00:00,2024-01-10 00:00:00,20
WO00393,TICK00657,TECH0114,Routine Maintenance,Completed,2023-11-25 00:00:00,2023-11-27 00:00:00,15
WO00394,TICK00168,TECH0044,Emergency Repair,Pending,2023-12-03 00:00:00,2023-12-05 00:00:00,14
WO00395,TICK00244,TECH0156,Installation,In Progress,2023-10-05 00:00:00,2023-10-05 00:00:00,17
WO00396,TICK00357,TECH0005,Inspection,Completed,2023-11-20 00:00:00,,17
WO00397,TICK00656,TECH0053,Routine Maintenance,Pending,2023-12-03 00:00:00,2023-12-07 00:00:00,18
WO00398,TICK00731,TECH0116,Emergency Repair,In Progress,2024-02-22 00:00:00,,10
WO00399,TICK00555,TECH0062,Installation,Completed,2024-02-10 00:00:00,2024-02-12 00:00:00,13
WO00400,TICK00622,TECH0144,Inspection,Pending,2023-12-20 00:00:00,,17
